seed,width,depth,rounding,final_train_acc,final_test_acc,best_test_acc,final_loss
42,4,2,baseline,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.7007245421409607
42,4,2,nearest,0.5018749833106995,0.5224999785423279,0.5224999785423279,0.6991550326347351
42,4,2,floor,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6968826055526733
42,4,2,ceil,0.5712500214576721,0.5049999952316284,0.5174999833106995,0.7005007266998291
42,4,4,baseline,0.5637500286102295,0.5350000262260437,0.5375000238418579,0.6951096057891846
42,4,4,nearest,0.5625,0.5525000095367432,0.5575000047683716,0.6849679350852966
42,4,4,floor,0.5143749713897705,0.5350000262260437,0.574999988079071,0.6845051050186157
42,4,4,ceil,0.5618749856948853,0.5475000143051147,0.5625,0.6844131350517273
42,4,6,baseline,0.5893750190734863,0.5849999785423279,0.5849999785423279,0.6775668859481812
42,4,6,nearest,0.5037500262260437,0.48500001430511475,0.48500001430511475,0.6931665539741516
42,4,6,floor,0.5037500262260437,0.48500001430511475,0.48500001430511475,0.6933137774467468
42,4,6,ceil,0.5037500262260437,0.48500001430511475,0.48500001430511475,0.6931392550468445
42,4,8,baseline,0.5575000047683716,0.5375000238418579,0.5450000166893005,0.6896682977676392
42,4,8,nearest,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.6933188438415527
42,4,8,floor,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.6932704448699951
42,4,8,ceil,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.6932764649391174
42,4,10,baseline,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6921335458755493
42,4,10,nearest,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.6931906342506409
42,4,10,floor,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6927397847175598
42,4,10,ceil,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6931007504463196
42,8,2,baseline,0.5962499976158142,0.5350000262260437,0.5724999904632568,0.6860025525093079
42,8,2,nearest,0.5862500071525574,0.5350000262260437,0.5625,0.6884344220161438
42,8,2,floor,0.6037499904632568,0.5375000238418579,0.5600000023841858,0.6886612772941589
42,8,2,ceil,0.6087499856948853,0.5350000262260437,0.5575000047683716,0.686000645160675
42,8,4,baseline,0.550000011920929,0.49000000953674316,0.5525000095367432,0.6908608078956604
42,8,4,nearest,0.5631250143051147,0.4749999940395355,0.5400000214576721,0.6938079595565796
42,8,4,floor,0.5881249904632568,0.5299999713897705,0.5550000071525574,0.6974232196807861
42,8,4,ceil,0.5768749713897705,0.4975000023841858,0.5450000166893005,0.695850133895874
42,8,6,baseline,0.7081249952316284,0.6449999809265137,0.6449999809265137,0.6023459434509277
42,8,6,nearest,0.6318749785423279,0.5724999904632568,0.5874999761581421,0.6712597608566284
42,8,6,floor,0.6381250023841858,0.5425000190734863,0.5550000071525574,0.6699134707450867
42,8,6,ceil,0.6012499928474426,0.550000011920929,0.5550000071525574,0.680805504322052
42,8,8,baseline,0.6862499713897705,0.5849999785423279,0.5950000286102295,0.6369625926017761
42,8,8,nearest,0.6193749904632568,0.6025000214576721,0.6025000214576721,0.6747419238090515
42,8,8,floor,0.6118749976158142,0.5475000143051147,0.5774999856948853,0.6855733394622803
42,8,8,ceil,0.5899999737739563,0.5475000143051147,0.550000011920929,0.6858103275299072
42,8,10,baseline,0.684374988079071,0.625,0.625,0.6450221538543701
42,8,10,nearest,0.6456249952316284,0.5874999761581421,0.5924999713897705,0.6898558139801025
42,8,10,floor,0.6456249952316284,0.5874999761581421,0.6025000214576721,0.6768637299537659
42,8,10,ceil,0.6700000166893005,0.6025000214576721,0.6075000166893005,0.6772406101226807
42,16,2,baseline,0.6487500071525574,0.5299999713897705,0.5525000095367432,0.6631385684013367
42,16,2,nearest,0.6106250286102295,0.5199999809265137,0.5625,0.6815166473388672
42,16,2,floor,0.6293749809265137,0.5350000262260437,0.5625,0.689754843711853
42,16,2,ceil,0.6575000286102295,0.5450000166893005,0.550000011920929,0.6572060585021973
42,16,4,baseline,0.921875,0.8700000047683716,0.8700000047683716,0.3083229959011078
42,16,4,nearest,0.737500011920929,0.6575000286102295,0.6524999737739563,0.5769908428192139
42,16,4,floor,0.7093750238418579,0.6424999833106995,0.6399999856948853,0.5693631172180176
42,16,4,ceil,0.7418749928474426,0.6725000143051147,0.6575000286102295,0.5811066031455994
42,16,6,baseline,0.8968750238418579,0.8025000095367432,0.8025000095367432,0.3797909617424011
42,16,6,nearest,0.9387500286102295,0.8924999833106995,0.9024999737739563,0.27501797676086426
42,16,6,floor,0.90625,0.8650000095367432,0.8650000095367432,0.3045635521411896
42,16,6,ceil,0.859375,0.8025000095367432,0.8149999976158142,0.3974459767341614
42,16,8,baseline,0.9337499737739563,0.862500011920929,0.862500011920929,0.33095866441726685
42,16,8,nearest,0.7437499761581421,0.6700000166893005,0.6700000166893005,0.6080797910690308
42,16,8,floor,0.7318750023841858,0.6524999737739563,0.6800000071525574,0.6169097423553467
