seed,width,depth,rounding,bits,final_train_acc,final_test_acc,best_test_acc,final_loss
42,4,2,baseline,8,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.7007245421409607
42,4,4,baseline,8,0.5637500286102295,0.5350000262260437,0.5375000238418579,0.6951096057891846
42,4,6,baseline,8,0.5893750190734863,0.5849999785423279,0.5849999785423279,0.6775668859481812
42,4,8,baseline,8,0.5575000047683716,0.5375000238418579,0.5450000166893005,0.6896682977676392
42,4,10,baseline,8,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6921335458755493
42,8,2,baseline,8,0.5962499976158142,0.5350000262260437,0.5724999904632568,0.6860025525093079
42,8,4,baseline,8,0.550000011920929,0.49000000953674316,0.5525000095367432,0.6908608078956604
42,8,6,baseline,8,0.7081249952316284,0.6449999809265137,0.6449999809265137,0.6023459434509277
42,8,8,baseline,8,0.6862499713897705,0.5849999785423279,0.5950000286102295,0.6369625926017761
42,8,10,baseline,8,0.684374988079071,0.625,0.625,0.6450221538543701
42,16,2,baseline,8,0.6487500071525574,0.5299999713897705,0.5525000095367432,0.6631385684013367
42,16,4,baseline,8,0.921875,0.8700000047683716,0.8700000047683716,0.3083229959011078
42,16,6,baseline,8,0.8968750238418579,0.8025000095367432,0.8025000095367432,0.3797909617424011
42,16,8,baseline,8,0.9337499737739563,0.862500011920929,0.862500011920929,0.33095866441726685
42,16,10,baseline,8,0.9900000095367432,0.9524999856948853,0.9549999833106995,0.1654370129108429
42,32,2,baseline,8,0.7925000190734863,0.6899999976158142,0.6899999976158142,0.488173246383667
42,32,4,baseline,8,0.9893749952316284,0.9674999713897705,0.9750000238418579,0.08493133634328842
42,32,6,baseline,8,0.9906250238418579,0.9700000286102295,0.9725000262260437,0.09110929816961288
42,32,8,baseline,8,0.9931250214576721,0.9750000238418579,0.9775000214576721,0.11200962215662003
42,32,10,baseline,8,0.9943749904632568,0.9574999809265137,0.9574999809265137,0.2618446350097656
42,64,2,baseline,8,0.9275000095367432,0.8399999737739563,0.8399999737739563,0.34768688678741455
42,64,4,baseline,8,0.9918749928474426,0.9624999761581421,0.9750000238418579,0.09966901689767838
42,64,6,baseline,8,0.9925000071525574,0.9599999785423279,0.9725000262260437,0.1424446552991867
42,64,8,baseline,8,0.9937499761581421,0.9674999713897705,0.9850000143051147,0.15795964002609253
42,64,10,baseline,8,0.9937499761581421,0.9574999809265137,0.9624999761581421,0.24700169265270233
42,128,2,baseline,8,0.9881250262260437,0.9674999713897705,0.9674999713897705,0.15514680743217468
42,128,4,baseline,8,0.9918749928474426,0.9599999785423279,0.9700000286102295,0.116987444460392
42,128,6,baseline,8,0.9912499785423279,0.9700000286102295,0.9750000238418579,0.13476698100566864
42,128,8,baseline,8,0.9925000071525574,0.9649999737739563,0.9725000262260437,0.21541711688041687
42,128,10,baseline,8,0.9837499856948853,0.9599999785423279,0.9599999785423279,0.12329564988613129
123,4,2,baseline,8,0.543749988079071,0.5149999856948853,0.5299999713897705,0.7008642554283142
123,4,4,baseline,8,0.574999988079071,0.5,0.5,0.6933897137641907
123,4,6,baseline,8,0.5481250286102295,0.5724999904632568,0.5774999856948853,0.6833310723304749
123,4,8,baseline,8,0.5674999952316284,0.5350000262260437,0.5400000214576721,0.6952590346336365
123,4,10,baseline,8,0.6168749928474426,0.550000011920929,0.5625,0.6891345381736755
123,8,2,baseline,8,0.6131250262260437,0.5824999809265137,0.5874999761581421,0.6798120141029358
